candidate_id,design_id,design_index,activity_pair,topology,distance_a,doping,angle_deg,variant_id,score,max_force_ev_per_a
1d195702,x1,1,Catalase + Peroxidase,bridged,5.6,NS,0,x1_bridged_d5.6_ns_a0,0.7155338255507466,0.0445820749116553
8195ee9a,x1,1,Catalase + Peroxidase,bridged,5.6,NS,0,x1_bridged_d5.6_ns_a0,0.7155338255507466,0.0445820749116553
46832d83,x1,1,Catalase + Glutathione Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,0.743217847777703,0.0384898005062482
c026116f,x1,1,Catalase + Glutathione Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,0.743217847777703,0.0384898005062482
9ec561f2,x1,1,Catalase + Oxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,0.743217847777703,0.0384898005062482
b36787b1,x1,1,Catalase + Oxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,0.743217847777703,0.0384898005062482
983be37c,x1,1,Catalase + Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,0.7455198040700709,0.0481057056730953
e7b2f3b3,x1,1,Catalase + Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,0.7455198040700709,0.0481057056730953
153f6b8a,x1,1,Glutathione Peroxidase + Oxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,0.7101343174363519,0.0357956017342312
7a2c1624,x1,1,Glutathione Peroxidase + Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,0.714129605505853,0.0444651705526565
7d6533e7,x1,1,Oxidase + Peroxidase,independent adjacent,6.8,N,0,x1_adjacent_d6.8_n_a0,0.714129605505853,0.0444651705526565
79bd3431,x3,3,Oxidase + Peroxidase,bridged,6.4,N,60,x3_bridged_d6.4_n_a60,0.7051231967071525,0.0349693092963347
dc3ed49f,x3,3,Glutathione Peroxidase + Oxidase,independent adjacent,8.4,S,60,x3_adjacent_d8.4_s_a60,0.7097484332249873,0.0486597961115704
e2ca81a4,x3,3,Glutathione Peroxidase + Peroxidase,independent adjacent,8.4,S,60,x3_adjacent_d8.4_s_a60,0.6946835509203725,0.0389674254478558
621e0bc1,x3,3,Oxidase + Peroxidase,independent adjacent,8.4,S,60,x3_adjacent_d8.4_s_a60,0.6946835509203725,0.0389674254478558
74820a79,x3,3,Catalase + Glutathione Peroxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,0.7653463437789314,0.0430216253149462
bae713d7,x3,3,Catalase + Glutathione Peroxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,0.7653463437789314,0.0430216253149462
1b0b26e4,x3,3,Catalase + Oxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,0.7653463437789314,0.0430216253149462
92567ba7,x3,3,Catalase + Oxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,0.7653463437789314,0.0430216253149462
c8f96ba2,x3,3,Glutathione Peroxidase + Oxidase,independent separated,12.4,S,60,x3_separated_d12.4_s_a60,0.7556549762740412,0.048332979993451
ad1d6912,x4,4,Catalase + Glutathione Peroxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,0.7546373938118777,0.0457322307151332
c5946ea0,x4,4,Catalase + Oxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,0.7546373938118777,0.0457322307151332
66070cb5,x4,4,Catalase + Peroxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,0.7923333133583658,0.0434656004551842
82300d54,x4,4,Glutathione Peroxidase + Oxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,0.7442506202022177,0.0413788297752209
976aa64b,x4,4,Glutathione Peroxidase + Peroxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,0.7816197195716977,0.0473287568348481
96ae2701,x4,4,Oxidase + Peroxidase,independent separated,8.8,N,15,x4_separated_d8.8_n_a15,0.7816197195716977,0.0473287568348481
827a743e,x5,5,Glucose Oxidase + Peroxidase,independent adjacent,7.0,S,45,x5_adjacent_d7.0_s_a45,0.7918777347216225,0.0426238215600781
644a5e9e,x6,6,Catalase + DNase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,0.79162884005849,0.0494446051586617
58cd660c,x6,6,Catalase + Oxidase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,0.7674535508442413,0.0499571861593251
8f21a96c,x6,6,Catalase + Peroxidase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,0.7135186588029985,0.0481473505631837
ffb513b8,x6,6,DNase + Oxidase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,0.7679908398064379,0.0493897735642952
9034c955,x6,6,DNase + Peroxidase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,0.7252559231095277,0.0492924478743026
dcdce03b,x6,6,Oxidase + Peroxidase,bridged,6.2,S,75,x6_bridged_d6.2_s_a75,0.6957815301412007,0.0497582693803342
